"lat","lon"
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
33.7772916666667,-84.3897116666667
33.7772833333333,-84.389705
33.777275,-84.3896966666667
33.777275,-84.3896916666667
33.77727,-84.3896916666667
33.777265,-84.3897
33.777265,-84.3897033333333
33.7773033333333,-84.3896666666667
33.7773133333333,-84.389655
33.77733,-84.389645
33.77734,-84.3896333333333
33.7773683333333,-84.3896166666667
33.77738,-84.389605
33.7773866666667,-84.3895933333333
33.7773783333333,-84.3895966666667
33.777345,-84.389595
33.7773266666667,-84.3895933333333
33.777305,-84.389595
33.7772833333333,-84.3895966666667
33.77726,-84.3896066666667
33.7772366666667,-84.38962
33.7772116666667,-84.3896366666667
33.7771866666667,-84.3896483333333
33.7771733333333,-84.3896633333333
33.777175,-84.389695
33.7771766666667,-84.3897216666667
33.7771883333333,-84.38976
33.7771983333333,-84.3898
33.7772083333333,-84.38983
33.7772216666667,-84.38986
33.7772333333333,-84.3898783333333
33.7772466666667,-84.3898866666667
33.7772633333333,-84.38991
33.777275,-84.3899433333333
33.7772666666667,-84.3899816666667
33.77726,-84.3900183333333
33.7772633333333,-84.3900383333333
33.77726,-84.3900616666667
33.777255,-84.3900833333333
33.7772533333333,-84.39009
33.7772466666667,-84.39011
33.7772483333333,-84.3901183333333
33.7772483333333,-84.390135
33.77725,-84.3901516666667
33.7772466666667,-84.3901816666667
33.77722,-84.3902233333333
33.7771966666667,-84.3902733333333
33.7771766666667,-84.3903183333333
33.7771566666667,-84.3903683333333
33.777145,-84.39043
33.777145,-84.3904916666667
33.7771383333333,-84.3905716666667
33.777135,-84.3906483333333
33.7771333333333,-84.3907216666667
33.7771283333333,-84.3907966666667
33.7771233333333,-84.3908733333333
33.7771216666667,-84.39095
33.77712,-84.391025
33.7771166666667,-84.3911
33.7771166666667,-84.39117
33.777115,-84.3912416666667
33.7771133333333,-84.3913133333333
33.77711,-84.391385
33.77711,-84.3914566666667
33.7771083333333,-84.3915333333333
33.7771066666667,-84.39161
33.7771066666667,-84.39169
33.7771066666667,-84.3917783333333
33.7770983333333,-84.391875
33.7770983333333,-84.3919716666667
33.7770983333333,-84.3920733333333
33.7770983333333,-84.39218
33.7770966666667,-84.39229
33.7770983333333,-84.3923966666667
33.7771016666667,-84.3925066666667
33.7771033333333,-84.3926216666667
