04-10-2017-17-58-05,637.54,0.00,1221,495
04-10-2017-17-58-05,637.54,0.00,1146,475
04-10-2017-17-58-05,635.00,0.00,599,467
04-10-2017-17-58-05,637.54,0.00,607,242
04-10-2017-17-58-06,637.54,0.00,978,459
04-10-2017-17-58-06,635.00,0.00,1193,469
04-10-2017-17-58-06,637.54,0.00,1170,482
04-10-2017-17-58-06,637.54,0.00,1142,469
04-10-2017-17-58-06,637.54,0.00,1083,479
04-10-2017-17-58-07,637.54,0.00,1073,489
04-10-2017-17-58-07,637.54,0.00,1073,851
04-10-2017-17-58-07,635.00,0.00,1216,697
04-10-2017-17-58-07,637.54,0.00,1,672
04-10-2017-17-58-07,637.54,0.00,1,696
04-10-2017-17-58-08,637.54,0.00,1,710
04-10-2017-17-58-08,637.54,0.00,435,658
04-10-2017-17-58-08,635.00,0.00,413,599
04-10-2017-17-58-08,637.54,0.00,403,590
04-10-2017-17-58-09,637.54,0.00,400,595
04-10-2017-17-58-09,637.54,0.00,408,599
04-10-2017-17-58-09,637.54,0.00,400,537
04-10-2017-17-58-09,635.00,0.00,403,468
04-10-2017-17-58-09,635.00,0.00,423,438
04-10-2017-17-58-10,635.00,0.00,408,421
04-10-2017-17-58-10,637.54,0.00,416,406
04-10-2017-17-58-10,635.00,0.00,419,385
04-10-2017-17-58-10,637.54,0.00,409,428
04-10-2017-17-58-10,635.00,0.00,409,521
04-10-2017-17-58-11,637.54,0.00,403,726
04-10-2017-17-58-11,635.00,0.00,419,1072
04-10-2017-17-58-11,637.54,0.00,417,857
04-10-2017-17-58-11,637.54,0.00,416,681
04-10-2017-17-58-12,637.54,0.00,1110,882
04-10-2017-17-58-12,635.00,0.00,980,1
04-10-2017-17-58-12,637.54,0.00,705,1
04-10-2017-17-58-12,637.54,0.00,623,1
04-10-2017-17-58-12,637.54,0.00,609,1
04-10-2017-17-58-13,637.54,0.00,673,1
04-10-2017-17-58-13,637.54,0.00,643,726
04-10-2017-17-58-13,637.54,0.00,645,1
04-10-2017-17-58-13,635.00,0.00,774,1
04-10-2017-17-58-13,637.54,0.00,1116,1071
04-10-2017-17-58-14,635.00,0.00,1284,629
04-10-2017-17-58-14,317.50,0.00,1288,500
04-10-2017-17-58-14,259.08,0.00,1284,420
04-10-2017-17-58-14,259.08,0.00,1286,386
04-10-2017-17-58-15,261.62,0.00,1286,373
04-10-2017-17-58-15,317.50,0.00,1287,342
04-10-2017-17-58-15,264.16,0.00,1291,332
04-10-2017-17-58-15,266.70,0.00,1289,344
04-10-2017-17-58-15,264.16,0.00,1287,355
04-10-2017-17-58-16,317.50,0.00,1294,376
04-10-2017-17-58-16,261.62,0.00,1295,381
04-10-2017-17-58-16,317.50,0.00,1289,371
04-10-2017-17-58-16,317.50,0.00,1291,381
04-10-2017-17-58-16,317.50,0.00,1289,419
04-10-2017-17-58-17,254.00,0.00,1286,529
04-10-2017-17-58-17,246.38,0.00,1288,720
04-10-2017-17-58-17,243.84,0.00,1188,799
04-10-2017-17-58-17,241.30,0.00,1145,818
04-10-2017-17-58-18,317.50,0.00,1100,883
04-10-2017-17-58-18,238.76,0.00,1147,1012
04-10-2017-17-58-18,236.22,0.00,1103,636
04-10-2017-17-58-18,236.22,0.00,1036,1179
04-10-2017-17-58-18,233.68,0.00,1039,1
04-10-2017-17-58-19,233.68,0.00,1056,1000
04-10-2017-17-58-19,233.68,0.00,1132,725
04-10-2017-17-58-19,236.22,0.00,1296,533
04-10-2017-17-58-19,236.22,0.00,1296,406
04-10-2017-17-58-20,238.76,0.00,1303,385
04-10-2017-17-58-20,241.30,0.00,1302,384
04-10-2017-17-58-20,241.30,0.00,1306,351
04-10-2017-17-58-20,243.84,0.00,1312,316
04-10-2017-17-58-20,243.84,0.00,1316,325
04-10-2017-17-58-21,243.84,0.00,1320,306
04-10-2017-17-58-21,243.84,0.00,1315,294
04-10-2017-17-58-21,243.84,0.00,1314,312
04-10-2017-17-58-21,243.84,0.00,1325,290
04-10-2017-17-58-21,246.38,0.00,1352,258
04-10-2017-17-58-22,248.92,0.00,1349,263
04-10-2017-17-58-22,246.38,0.00,1351,281
04-10-2017-17-58-22,246.38,0.00,1342,280
04-10-2017-17-58-22,248.92,0.00,1345,285
04-10-2017-17-58-23,243.84,0.00,1330,284
04-10-2017-17-58-23,246.38,0.00,1342,283
04-10-2017-17-58-23,246.38,0.00,1341,283
04-10-2017-17-58-23,104.14,0.00,126,295
04-10-2017-17-58-23,106.68,0.00,143,310
04-10-2017-17-58-24,129.54,0.00,1327,312
04-10-2017-17-58-24,243.84,0.00,1330,303
04-10-2017-17-58-24,243.84,0.00,1331,304
04-10-2017-17-58-24,243.84,0.00,1328,310
04-10-2017-17-58-24,243.84,0.00,307,303
04-10-2017-17-58-25,243.84,0.00,329,293
04-10-2017-17-58-25,246.38,0.00,1332,289
04-10-2017-17-58-25,246.38,0.00,1335,288
04-10-2017-17-58-25,246.38,0.00,1341,290
04-10-2017-17-58-26,246.38,0.00,1340,296
04-10-2017-17-58-26,243.84,0.00,1333,302
04-10-2017-17-58-26,243.84,0.00,1330,307
04-10-2017-17-58-26,243.84,0.00,1336,311
04-10-2017-17-58-26,243.84,0.00,1323,307
04-10-2017-17-58-27,243.84,0.00,1329,306
04-10-2017-17-58-27,243.84,0.00,1328,303
04-10-2017-17-58-27,243.84,0.00,1330,304
04-10-2017-17-58-27,243.84,0.00,1334,304
04-10-2017-17-58-28,243.84,0.00,1324,306
04-10-2017-17-58-28,243.84,0.00,1332,306
04-10-2017-17-58-28,243.84,0.00,1322,306
04-10-2017-17-58-28,243.84,0.00,1327,310
04-10-2017-17-58-28,243.84,0.00,1327,311
04-10-2017-17-58-29,243.84,0.00,1327,313
04-10-2017-17-58-29,243.84,0.00,1326,308
04-10-2017-17-58-29,243.84,0.00,1328,306
04-10-2017-17-58-29,243.84,0.00,1337,300
04-10-2017-17-58-29,243.84,0.00,1327,292
04-10-2017-17-58-30,246.38,0.00,1334,292
04-10-2017-17-58-30,208.28,0.00,1331,308
