,USRight,USLeft,USRear,LidarRight,LidarLeft,SO,NO,P10,P25,O3,CO,timestamp,sensor,DateN,TimeN,sequenceTime
1587,12.7,17.78,88.9,113,72,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215234,1587
1588,12.7,17.78,88.9,125,78,4095,4095,12,10.3,4095,4095,1.90717E+11,proximity,190717,215234,1588
1589,15.24,17.78,93.98,134,78,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215234,1589
1590,12.7,17.78,96.52,133,74,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215234,1590
1591,12.7,17.78,93.98,127,77,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215235,1591
1592,12.7,17.78,88.9,1,77,4095,4095,11.8,10.1,4095,4095,1.90717E+11,proximity,190717,215235,1592
1593,15.24,17.78,99.06,137,68,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215236,1593
1594,12.7,17.78,91.44,123,74,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215236,1594
1595,12.7,20.32,93.98,135,77,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215236,1595
1596,15.24,17.78,93.98,133,79,4095,4095,11.7,9.8,4095,4095,1.90717E+11,proximity,190717,215236,1596
1597,12.7,20.32,96.52,145,75,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215237,1597
1598,12.7,17.78,91.44,136,73,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215237,1598
1599,12.7,17.78,93.98,120,76,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215237,1599
1600,12.7,17.78,93.98,121,75,4095,4095,11,9.5,4095,4095,1.90717E+11,proximity,190717,215238,1600
1601,12.7,17.78,93.98,128,77,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215238,1601
1602,15.24,17.78,91.44,133,73,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215238,1602
1603,12.7,17.78,88.9,1,73,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215238,1603
1604,12.7,17.78,91.44,110,75,4095,4095,10.7,9.3,4095,4095,1.90717E+11,proximity,190717,215239,1604
1605,12.7,17.78,99.06,1,77,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215239,1605
1606,12.7,17.78,96.52,135,74,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215239,1606
1607,12.7,17.78,93.98,130,74,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215239,1607
1608,12.7,17.78,96.52,1,72,4095,4095,10.6,9.3,4095,4095,1.90717E+11,proximity,190717,215240,1608
1609,12.7,17.78,99.06,1,74,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215240,1609
