,USRight,USLeft,USRear,LidarRight,LidarLeft,SO,NO,P10,P25,O3,CO,timestamp,sensor,DateN,TimeN,sequenceTime
1760,12.7,17.78,93.98,1,1742,4095,4095,10.1,9.1,4095,4095,1.90717E+11,proximity,190717,215322,1760
1761,15.24,17.78,91.44,1,1691,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215322,1761
1762,12.7,17.78,91.44,1,802,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215322,1762
1763,12.7,17.78,91.44,2103,857,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215323,1763
1764,12.7,17.78,96.52,1,859,4095,4095,10.2,9.2,4095,4095,1.90717E+11,proximity,190717,215323,1764
1765,12.7,17.78,99.06,455,862,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215323,1765
1766,12.7,17.78,96.52,293,249,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215324,1766
1767,12.7,17.78,91.44,209,226,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215324,1767
1768,12.7,17.78,91.44,183,214,4095,4095,10.3,9.3,4095,4095,1.90717E+11,proximity,190717,215324,1768
1769,12.7,17.78,91.44,218,211,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215324,1769
1770,12.7,17.78,91.44,306,227,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215324,1770
1771,12.7,17.78,91.44,191,229,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215325,1771
1772,12.7,17.78,93.98,118,232,4095,4095,10.3,9.3,4095,4095,1.90717E+11,proximity,190717,215325,1772
1773,15.24,17.78,91.44,2068,240,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215325,1773
1774,12.7,17.78,93.98,2065,245,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215326,1774
