,long,course,lat,speed,day,utc_time
160,NA,0,NA,0,190717,214744.098
161,NA,0,NA,0,190717,214745.098
162,NA,0,NA,0,190717,214746.098
163,NA,0,NA,0,190717,214747.098
164,NA,0,NA,0,190717,214748.098
165,NA,0,NA,0,190717,214749.098
166,NA,0,NA,0,190717,214750.098
167,NA,0,NA,0,190717,214751.098
168,NA,0,NA,0,190717,214752.098
169,NA,0,NA,0,190717,214753.098
170,NA,0,NA,0,190717,214754.094
171,NA,0,NA,0,190717,214755.094
172,NA,0,NA,0,190717,214756.094
173,NA,0,NA,0,190717,214757.094
174,NA,0,NA,0,190717,214758.094
175,NA,0,NA,0,190717,214759.094
176,NA,0,NA,0,190717,214800.094
177,NA,0,NA,0,190717,214801.094
178,NA,0,NA,0,190717,214802.094
179,NA,0,NA,0,190717,214803.094
180,NA,0,NA,0,190717,214804.094
181,NA,0,NA,0,190717,214805.094
182,NA,0,NA,0,190717,214806.094
183,NA,0,NA,0,190717,214807.094
184,NA,0,NA,0,190717,214808.094
185,NA,0,NA,0,190717,214809.094
186,NA,0,NA,0,190717,214810.094
187,NA,0,NA,0,190717,214811.094
188,NA,0,NA,0,190717,214812.093
189,NA,0,NA,0,190717,214813.093
190,NA,0,NA,0,190717,214814.093
191,NA,0,NA,0,190717,214815.093
192,NA,0,NA,0,190717,214816.093
193,NA,0,NA,0,190717,214817.093
194,NA,0,NA,0,190717,214818.088
195,NA,0,NA,0,190717,214819.309
196,NA,0,NA,0,190717,214820.309
197,NA,0,NA,0,190717,214821.309
198,NA,0,NA,0,190717,214822.309
199,NA,0,NA,0,190717,214823.309
200,NA,0,NA,0,190717,214824.088
201,NA,0,NA,0,190717,214825.309
202,NA,0,NA,0,190717,214826.309
203,NA,0,NA,0,190717,214827.309
204,NA,0,NA,0,190717,214828.309
205,NA,0,NA,0,190717,214829.309
206,NA,0,NA,0.12,190717,214830.08
207,NA,0,NA,0.42,190717,214832
208,NA,0,NA,0.46,190717,214833
209,8423.4339,0,3346.6287,0.33,190717,214834
210,8423.433,0,3346.6284,0.46,190717,214835
211,8423.4323,0,3346.6281,0.5,190717,214836
212,8423.4318,0,3346.628,0.38,190717,214838
213,NA,0,NA,0.19,190717,214839
214,8423.4313,0,3346.6285,0.21,190717,214840
215,NA,0,NA,0.1,190717,214841
216,NA,0,NA,0.05,190717,214842
217,NA,0,NA,0.07,190717,214844
218,NA,0,NA,0.14,190717,214845
219,NA,0,NA,0.13,190717,214846
220,8423.4359,0,3346.6295,0.16,190717,214847
221,8423.4389,0,3346.6299,0.27,190717,214848
222,8423.4432,277.76,3346.6305,0.73,190717,214850
223,8423.4431,277.76,3346.6307,0.48,190717,214851
224,8423.4434,277.76,3346.6307,0.46,190717,214852
225,8423.4436,277.76,3346.6307,0.32,190717,214853
226,8423.4442,277.76,3346.6312,0.31,190717,214854
227,8423.4444,277.76,3346.6322,0.3,190717,214856
228,8423.4447,277.76,3346.6326,0.33,190717,214857
229,8423.4444,277.76,3346.6331,0.38,190717,214858
230,8423.4438,277.76,3346.6336,0.52,190717,214859
231,8423.4434,277.76,3346.6342,0.55,190717,214900
232,8423.4423,277.76,3346.635,0.55,190717,214902
233,8423.442,277.76,3346.6354,0.55,190717,214903
234,8423.4417,277.76,3346.6357,0.55,190717,214904
235,8423.4415,277.76,3346.6361,0.55,190717,214905
236,8423.4414,277.76,3346.6365,0.56,190717,214906
237,8423.4414,277.76,3346.6372,0.57,190717,214908
238,8423.4417,277.76,3346.6371,0.56,190717,214909
239,8423.4416,277.76,3346.6372,0.55,190717,214910
240,8423.4416,277.76,3346.6371,0.52,190717,214911
241,8423.4416,277.76,3346.6371,0.49,190717,214912
242,8423.4418,277.76,3346.6366,0.23,190717,214914
243,8423.4417,277.76,3346.6362,0.19,190717,214915
244,8423.4417,277.76,3346.6359,0.16,190717,214916
245,8423.4419,277.76,3346.6351,0.34,190717,214917
246,8423.4421,277.76,3346.6367,0.41,190717,214918
247,8423.4422,271.82,3346.6378,0.97,190717,214920
248,8423.4417,264.57,3346.6371,1.26,190717,214921
249,8423.4411,260.6,3346.6369,1.42,190717,214922
250,8423.4401,252.97,3346.6368,1.39,190717,214923
251,8423.4387,159.23,3346.6369,1.19,190717,214924
252,8423.4331,123.37,3346.636,2.12,190717,214926
253,8423.428,113.6,3346.6351,3.25,190717,214927
254,8423.4247,110.05,3346.6346,3.77,190717,214928
255,8423.4208,108.48,3346.6338,4.28,190717,214929
256,8423.4168,107.11,3346.633,4.74,190717,214930
257,8423.4101,105.72,3346.6317,5.21,190717,214932
258,8423.4077,105.94,3346.6312,5.23,190717,214933
259,8423.4053,106.55,3346.6304,5.26,190717,214934
260,8423.4031,107.08,3346.6296,5.27,190717,214935
261,8423.4008,107.57,3346.6287,5.29,190717,214936
262,8423.3971,109.74,3346.6268,5.13,190717,214938
263,8423.3948,110.34,3346.6271,5.06,190717,214939
264,8423.3927,110.13,3346.627,4.89,190717,214940
265,8423.3906,109,3346.6269,4.87,190717,214941
266,8423.3889,107.39,3346.6271,4.8,190717,214942
267,8423.3866,106.01,3346.6262,4.32,190717,214944
268,8423.386,106.5,3346.6255,4.08,190717,214945
269,8423.3856,107.26,3346.6251,3.79,190717,214946
270,8423.385,108.06,3346.6246,3.72,190717,214947
271,8423.3854,108.49,3346.6245,3.25,190717,214948
272,8423.3859,108.37,3346.6245,2.56,190717,214950
273,8423.3858,107.64,3346.6245,2.33,190717,214951
274,8423.3855,106.95,3346.6246,2.16,190717,214952
275,8423.3854,106.05,3346.6247,2,190717,214953
276,8423.3852,105.21,3346.6249,1.94,190717,214954
277,8423.3845,101.88,3346.6253,1.69,190717,214956
278,8423.3838,98.12,3346.6255,1.68,190717,214957
279,8423.3833,97.26,3346.6256,1.66,190717,214958
280,8423.3829,98.82,3346.6255,1.62,190717,214959
281,8423.3827,99.16,3346.6255,1.55,190717,215000
282,8423.3448,251.69,3346.6196,0.93,190717,215002
283,8423.3445,248.65,3346.6186,1.25,190717,215003
284,8423.3449,245.76,3346.6181,1.68,190717,215004
285,8423.3442,241.89,3346.617,0.78,190717,215005
286,8423.3446,238.34,3346.6165,0.79,190717,215006
287,8423.3449,235.04,3346.6158,0.94,190717,215007
288,8423.3454,231.63,3346.6149,1.06,190717,215008
