Date,Time,SO2,CO,Temp,RH,O3,NO,NO2,PM25
7/14/17,1,1.283398832,461.7001302,25.01840448,85.14232203,5.740286966,1.710696081,10.29059847,10.60180221
7/14/17,2,1.197052848,464.1068209,24.15753279,90.37211863,2.806995702,0.392546247,8.949910092,11.65969663
7/14/17,3,1.196857177,437.1968495,23.95691376,90.0909626,3.341286616,0.932691436,8.848729952,11.64667554
7/14/17,4,1.157819507,395.1098166,23.73830312,87.45271428,7.541429655,0.276547606,6.532365147,11.66167568
7/14/17,5,1.169104585,383.6917903,23.46004238,87.55466906,8.343058523,0.55409529,6.557614501,11.80053307
7/14/17,6,1.206430394,395.9168589,23.64527076,87.17215246,8.997123408,1.880787699,7.039179532,10.83735251
7/14/17,7,1.28221845,387.8268191,25.03499861,82.67267736,14.24793804,2.757379166,6.840096307,9.846663435
7/14/17,8,1.260972931,581.75203,26.99113057,76.07960307,23.7120465,1.819985209,4.962180527,11.69070497
7/14/17,9,1.355953925,366.5794977,28.77384052,68.44837532,35.03072681,1.58873222,4.173655671,13.05966493
7/14/17,10,1.220485057,346.9027853,30.18677012,59.71094577,39.90582212,0.337938713,1.449576548,12.60193261
7/14/17,11,1.406281506,358.297392,31.05784149,55.84787159,49.89363384,0.438176125,2.195328625,11.25569185
7/14/17,12,1.75254788,393.3892206,31.3801212,54.40239156,60.49753259,1.00633045,5.156368538,11.32988276
7/14/17,13,1.490895942,374.6749515,31.6009263,53.60049871,49.41163432,0.985057173,4.300517247,7.889414855
7/14/17,14,1.464891161,370.6611484,32.1781827,51.93099861,41.00236066,1.66826544,5.748026299,6.99573611
7/14/17,15,1.189531966,347.359716,32.48580761,49.59249204,41.64859111,0.445895221,1.99775001,4.554651202
7/14/17,16,1.136888413,340.3934979,32.40474765,47.60851129,40.13773448,0.247635757,1.393480506,3.486854295
7/14/17,17,1.110014209,336.4168649,31.75360047,52.26733144,35.27256667,0.288600239,1.590302753,2.105071963
7/14/17,18,1.087239292,346.3587136,30.18210437,57.08388278,34.81154426,0.183500869,1.982941359,4.66207622
7/14/17,19,1.116932527,335.1736393,27.46717348,67.85246887,33.72655573,0.051091929,2.785131661,9.693580763
7/14/17,20,1.045218074,335.2859914,26.18247334,69.09596125,34.96273394,0.001797558,2.522188155,8.04751145
7/14/17,21,1.065979258,368.1992999,26.09716101,68.68459269,31.04576362,0.355978679,7.393854441,4.930578345
7/14/17,22,1.070167098,388.2532336,26.0662933,69.56710625,30.77039839,0.053393915,5.411924549,5.71390687
7/14/17,23,1.083449374,414.1879013,25.31167885,75.13830528,21.71047953,0.006642382,6.350035063,5.48013672
