long,course,lat,speed,day,utc_time,Time
8423.715,328.66,3346.6796,9.79,200717,13917,NA
8423.7169,327.59,3346.6816,9.22,200717,13918,NA
8423.7238,311.5,3346.6842,8.31,200717,13920,NA
8423.7266,306.61,3346.6857,9.06,200717,13921,NA
8423.7296,301.02,3346.6865,7.41,200717,13922,NA
8423.732,300.11,3346.6876,7.73,200717,13923,NA
8423.734,301.87,3346.6891,7.78,200717,13924,NA
8423.7376,302.68,3346.6901,8.19,200717,13925,NA
8423.7406,304.42,3346.6912,7.99,200717,13926,NA
8423.7439,301.99,3346.6919,8.28,200717,13927,NA
8423.7462,306.56,3346.6926,7.65,200717,13928,NA
8423.749,303.38,3346.6939,7.89,200717,13929,NA
8423.7515,305.9,3346.695,7.62,200717,13930,NA
8423.755,292.97,3346.6958,8.11,200717,13931,NA
8423.758,295.66,3346.6964,7.52,200717,13932,NA
8423.7611,292.66,3346.6971,7.89,200717,13933,NA
8423.7641,291.84,3346.6976,7.29,200717,13934,NA
8423.7668,292.15,3346.6982,7.34,200717,13935,NA
8423.7691,291.48,3346.6988,7.26,200717,13936,NA
8423.7724,290.45,3346.6993,7.71,200717,13937,NA
8423.775,291.76,3346.6998,6.71,200717,13938,NA
8423.7784,290.41,3346.7003,7.19,200717,13939,NA
8423.7811,289.5,3346.7007,7.48,200717,13940,NA
8423.784,288.29,3346.701,8.13,200717,13941,NA
8423.7868,286.74,3346.7009,7.56,200717,13942,NA
8423.7898,284.95,3346.7009,7.53,200717,13943,NA
8423.7928,283.91,3346.7011,8.04,200717,13944,NA
8423.7958,282.34,3346.7012,8.08,200717,13945,NA
8423.7987,280.95,3346.7012,8.05,200717,13946,NA
8423.8022,279.78,3346.7015,8.24,200717,13947,NA
8423.8053,278.69,3346.7014,7.97,200717,13948,NA
8423.8086,277.65,3346.7013,7.99,200717,13949,NA
8423.8117,276.76,3346.7014,7.56,200717,13950,NA
8423.8143,277.53,3346.7016,7.49,200717,13951,NA
8423.8172,276.78,3346.7017,7.79,200717,13952,NA
8423.8199,275.52,3346.7016,7.96,200717,13953,NA
8423.8223,274.03,3346.7011,7.26,200717,13954,NA
8423.8249,271.05,3346.701,7.95,200717,13955,NA
8423.8278,272.84,3346.7013,8.83,200717,13956,NA
8423.8306,271.65,3346.7015,9.08,200717,13957,NA
8423.8339,271.15,3346.7016,9.03,200717,13958,NA
8423.8371,269.65,3346.7015,9.34,200717,13959,NA
8423.8406,269.48,3346.7015,9.64,200717,14000,2017-07-20 14:00:00
8423.8444,269.03,3346.7014,9.84,200717,14001,2017-07-20 14:00:01
8423.8479,277.58,3346.7015,9.45,200717,14002,2017-07-20 14:00:02
8423.8509,298.82,3346.7024,8.78,200717,14003,2017-07-20 14:00:03
8423.8537,309.51,3346.7035,8.2,200717,14004,2017-07-20 14:00:04
8423.8555,327.43,3346.7048,6.74,200717,14005,2017-07-20 14:00:05
8423.8561,352.18,3346.7065,7.39,200717,14006,2017-07-20 14:00:06
8423.8564,2.31,3346.709,10.33,200717,14007,2017-07-20 14:00:07
8423.8562,7.69,3346.712,12.12,200717,14008,2017-07-20 14:00:08
8423.8556,10.63,3346.7153,13.06,200717,14009,2017-07-20 14:00:09
8423.8553,8.14,3346.719,13.74,200717,14010,2017-07-20 14:01:00
8423.8546,6.57,3346.7229,14.5,200717,14011,2017-07-20 14:01:01
8423.8547,0.5,3346.7272,16.37,200717,14012,2017-07-20 14:01:02
8423.8547,357.86,3346.7317,17.55,200717,14013,2017-07-20 14:01:03
8423.8552,358.43,3346.7365,18.2,200717,14014,2017-07-20 14:01:04
8423.8556,358.49,3346.7415,19.17,200717,14015,2017-07-20 14:01:05
8423.856,358.85,3346.7467,19.78,200717,14016,2017-07-20 14:01:06
8423.8565,357.66,3346.7524,21.09,200717,14017,2017-07-20 14:01:07
8423.8569,358.04,3346.7587,22.89,200717,14018,2017-07-20 14:01:08
8423.8567,358.35,3346.7652,24.19,200717,14019,2017-07-20 14:01:09
8423.8562,358.93,3346.7719,24.82,200717,14020,2017-07-20 14:02:00
8423.8563,359.42,3346.7785,24.16,200717,14021,2017-07-20 14:02:01
8423.8564,0.64,3346.7851,23.46,200717,14022,2017-07-20 14:02:02
8423.8566,0.64,3346.7916,22.74,200717,14023,2017-07-20 14:02:03
8423.8569,358.49,3346.7979,22.43,200717,14024,2017-07-20 14:02:04
8423.8572,358.64,3346.8041,21.76,200717,14025,2017-07-20 14:02:05
8423.8573,0.04,3346.8099,20.97,200717,14026,2017-07-20 14:02:06
8423.8573,0.53,3346.8157,20.29,200717,14027,2017-07-20 14:02:07
8423.8575,359.82,3346.8212,19.46,200717,14028,2017-07-20 14:02:08
8423.8575,359.85,3346.8263,17.5,200717,14029,2017-07-20 14:02:09
8423.8576,0.67,3346.8309,16.37,200717,14030,2017-07-20 14:03:00
8423.8582,0.3,3346.8353,15.9,200717,14031,2017-07-20 14:03:01
8423.8587,0.56,3346.8392,14.34,200717,14032,2017-07-20 14:03:02
8423.8589,0.62,3346.843,13.73,200717,14033,2017-07-20 14:03:03
8423.8595,0.32,3346.847,14.86,200717,14034,2017-07-20 14:03:04
8423.8593,1.8,3346.8507,13.95,200717,14035,2017-07-20 14:03:05
8423.8592,2.12,3346.8544,13.65,200717,14036,2017-07-20 14:03:06
8423.8592,2.1,3346.8583,14.19,200717,14037,2017-07-20 14:03:07
8423.8593,2.42,3346.862,13.63,200717,14038,2017-07-20 14:03:08
8423.859,7.56,3346.8657,12.64,200717,14039,2017-07-20 14:03:09
8423.8585,11.97,3346.8691,12.15,200717,14040,2017-07-20 14:04:00
8423.8579,11.13,3346.8725,12.17,200717,14041,2017-07-20 14:04:01
8423.8575,3.73,3346.8757,11.22,200717,14042,2017-07-20 14:04:02
8423.8575,0.4,3346.8788,10.09,200717,14043,2017-07-20 14:04:03
8423.8577,354.1,3346.8815,9.04,200717,14044,2017-07-20 14:04:04
8423.8585,336.84,3346.8839,8.79,200717,14045,2017-07-20 14:04:05
8423.8601,320.76,3346.8859,8.77,200717,14046,2017-07-20 14:04:06
8423.8621,309.04,3346.8875,8.22,200717,14047,2017-07-20 14:04:07
8423.8651,266.11,3346.8874,9.08,200717,14048,2017-07-20 14:04:08
8423.8685,262.45,3346.887,10.57,200717,14049,2017-07-20 14:04:09
8423.8722,264.07,3346.8868,10.54,200717,14050,2017-07-20 14:05:00
8423.8758,264.41,3346.8866,10.57,200717,14051,2017-07-20 14:05:01
8423.8794,267.78,3346.8866,10.27,200717,14052,2017-07-20 14:05:02
