"results.sensor","date","time","USLeft","USRight","USRear","LidarLeft","LidarRight","O3","SO","NO","CO","P10","P25"
"proximity","220717",2017-07-22 03:45:30,640.08,45.72,642.62,995,76,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:30,640.08,43.18,640.08,1041,1666,941,537,869,790,24.1,21.7
"proximity","220717",2017-07-22 03:45:31,640.08,38.1,640.08,1063,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:31,640.08,35.56,640.08,728,3317,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:31,640.08,38.1,640.08,729,1935,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:32,640.08,33.02,640.08,2048,83,866,795,857,786,24.3,21.9
"proximity","220717",2017-07-22 03:45:32,640.08,30.48,640.08,2071,2437,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:32,640.08,22.86,640.08,2025,2439,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:33,548.64,22.86,640.08,768,1366,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:33,640.08,27.94,640.08,2041,1,1285,304,1024,789,24.4,22
"proximity","220717",2017-07-22 03:45:33,640.08,25.4,640.08,2043,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:33,640.08,22.86,640.08,2008,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:34,640.08,22.86,640.08,1908,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:34,640.08,38.1,640.08,893,1,724,894,761,784,24.4,22
"proximity","220717",2017-07-22 03:45:34,640.08,322.58,642.62,713,793,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:35,642.62,38.1,642.62,646,786,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:35,642.62,43.18,642.62,655,800,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:35,523.24,53.34,642.62,657,785,760,846,747,782,24.4,22
"proximity","220717",2017-07-22 03:45:36,642.62,48.26,642.62,644,777,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:36,523.24,55.88,642.62,654,790,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:36,642.62,58.42,642.62,650,812,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:37,515.62,60.96,640.08,32,781,958,518,878,789,24.3,21.9
"proximity","220717",2017-07-22 03:45:37,518.16,63.5,640.08,40,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:37,515.62,53.34,640.08,658,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:37,640.08,50.8,640.08,658,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:38,447.04,322.58,642.62,748,1,991,656,897,788,24.3,21.9
"proximity","220717",2017-07-22 03:45:38,513.08,322.58,640.08,782,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:38,640.08,322.58,640.08,866,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:39,640.08,322.58,640.08,610,1526,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:39,640.08,322.58,640.08,606,1,1077,417,925,789,24.3,21.9
"proximity","220717",2017-07-22 03:45:39,640.08,58.42,640.08,858,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:40,515.62,78.74,640.08,1,894,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:40,642.62,71.12,642.62,2063,6983,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:40,640.08,71.12,642.62,706,6987,602,1014,672,783,24.3,21.9
"proximity","220717",2017-07-22 03:45:40,640.08,53.34,640.08,687,6986,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:41,640.08,322.58,642.62,1,6994,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:41,640.08,322.58,642.62,2062,6994,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:41,640.08,322.58,640.08,1181,919,886,693,826,788,24.3,21.9
"proximity","220717",2017-07-22 03:45:42,640.08,322.58,640.08,1180,944,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:42,640.08,322.58,640.08,1175,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:42,642.62,40.64,642.62,1171,6985,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:42,640.08,33.02,640.08,1163,1,961,527,886,787,24.3,21.9
"proximity","220717",2017-07-22 03:45:43,640.08,33.02,640.08,633,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:43,510.54,33.02,642.62,627,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:43,642.62,35.56,642.62,636,55,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:44,640.08,40.64,642.62,634,62,728,911,777,781,24.4,22
"proximity","220717",2017-07-22 03:45:44,642.62,53.34,642.62,631,73,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:44,642.62,58.42,642.62,631,78,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:44,508,63.5,642.62,635,78,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:45,508,68.58,642.62,629,87,1298,387,1114,785,24.5,22.1
"proximity","220717",2017-07-22 03:45:45,508,71.12,642.62,629,110,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:45,640.08,78.74,640.08,1151,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:46,640.08,81.28,640.08,1167,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:46,640.08,83.82,640.08,1179,1,549,949,650,783,24.6,22.2
"proximity","220717",2017-07-22 03:45:46,640.08,86.36,640.08,1177,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:46,640.08,88.9,640.08,1192,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:47,640.08,322.58,640.08,1187,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:47,640.08,322.58,640.08,1184,1,858,716,789,783,24.6,22.2
"proximity","220717",2017-07-22 03:45:47,640.08,322.58,640.08,1177,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:48,640.08,322.58,640.08,1174,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:48,640.08,322.58,640.08,1178,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:48,640.08,322.58,642.62,1175,1,995,470,913,787,24.7,22.3
"proximity","220717",2017-07-22 03:45:49,640.08,322.58,640.08,1158,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:49,640.08,322.58,640.08,1153,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:49,640.08,322.58,640.08,626,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:50,640.08,322.58,640.08,631,1,801,829,770,781,24.8,22.3
"proximity","220717",2017-07-22 03:45:50,640.08,322.58,640.08,1159,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:50,640.08,322.58,640.08,1151,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:50,640.08,322.58,640.08,1164,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:51,640.08,322.58,640.08,1156,1,926,689,945,783,25,22.5
"proximity","220717",2017-07-22 03:45:51,640.08,322.58,642.62,1152,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:51,640.08,322.58,642.62,1144,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:52,640.08,322.58,642.62,1154,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:52,640.08,322.58,640.08,625,1,574,988,666,784,25,22.5
"proximity","220717",2017-07-22 03:45:52,640.08,322.58,640.08,631,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:53,640.08,322.58,640.08,633,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:53,640.08,322.58,642.62,630,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:53,640.08,322.58,642.62,625,1,872,729,835,786,25.1,22.6
"proximity","220717",2017-07-22 03:45:53,640.08,322.58,642.62,627,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:54,640.08,322.58,642.62,622,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:54,640.08,322.58,642.62,625,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:54,640.08,322.58,640.08,625,1,1080,417,948,787,25.1,22.6
"proximity","220717",2017-07-22 03:45:55,640.08,322.58,640.08,630,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:55,640.08,322.58,640.08,1151,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:55,640.08,322.58,640.08,1157,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:55,640.08,322.58,640.08,1173,1,737,892,753,784,25.2,22.7
"proximity","220717",2017-07-22 03:45:56,640.08,322.58,640.08,1153,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:56,640.08,322.58,640.08,1144,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:56,640.08,322.58,640.08,629,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:57,640.08,322.58,640.08,653,1,896,717,857,786,25.3,22.8
"proximity","220717",2017-07-22 03:45:57,640.08,322.58,640.08,634,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:57,510.54,322.58,640.08,623,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:58,640.08,322.58,640.08,636,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:58,640.08,322.58,640.08,663,1,571,951,645,785,25.3,22.8
"proximity","220717",2017-07-22 03:45:58,640.08,322.58,640.08,680,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:59,640.08,322.58,640.08,631,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:59,640.08,322.58,640.08,598,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:59,640.08,322.58,640.08,614,1,818,765,780,784,25.2,22.7
"proximity","220717",2017-07-22 03:45:59,114.3,325.12,642.62,627,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:00,320.04,322.58,640.08,605,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:00,320.04,322.58,640.08,571,1605,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:00,320.04,322.58,640.08,617,1,1019,452,930,787,25.1,22.7
"proximity","220717",2017-07-22 03:46:00,497.84,322.58,640.08,701,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:01,500.38,322.58,640.08,665,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:01,500.38,322.58,640.08,730,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:01,502.92,322.58,640.08,628,1,772,837,754,783,25.1,22.7
"proximity","220717",2017-07-22 03:46:02,502.92,322.58,640.08,673,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:02,505.46,322.58,640.08,1,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:02,505.46,322.58,640.08,692,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:03,640.08,322.58,640.08,661,1,1369,342,1200,789,25.1,22.7
"proximity","220717",2017-07-22 03:46:03,505.46,322.58,640.08,1234,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:03,640.08,322.58,640.08,1,3403,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:03,510.54,322.58,640.08,1,2504,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:04,513.08,322.58,640.08,1,1,668,874,725,785,25.2,22.8
"proximity","220717",2017-07-22 03:46:04,53.34,322.58,640.08,62,2517,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:04,45.72,322.58,640.08,69,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:05,45.72,322.58,640.08,74,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:05,45.72,322.58,640.08,116,1,1037,443,913,790,25.5,23
"proximity","220717",2017-07-22 03:46:05,91.44,322.58,640.08,1006,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:05,116.84,322.58,640.08,1249,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:05,320.04,322.58,640.08,1,2121,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:08,132.08,322.58,640.08,1385,1,960,670,876,787,25.5,23
"proximity","220717",2017-07-22 03:46:08,320.04,218.44,642.62,1,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:08,320.04,210.82,640.08,1,435,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:08,320.04,205.74,640.08,1,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:09,320.04,213.36,642.62,1,2703,1157,352,977,789,25.5,23
"proximity","220717",2017-07-22 03:46:09,320.04,414.02,640.08,1,2738,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:09,320.04,518.16,640.08,1,2733,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:10,320.04,642.62,640.08,1,2746,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:10,320.04,505.46,640.08,1507,1,728,878,735,784,25.5,23
"proximity","220717",2017-07-22 03:46:10,96.52,497.84,640.08,117,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:11,93.98,492.76,640.08,111,1840,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:11,93.98,441.96,642.62,499,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:11,91.44,312.42,642.62,463,1,815,774,775,782,25.6,23.1
"proximity","220717",2017-07-22 03:46:12,93.98,142.24,640.08,485,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:12,99.06,137.16,642.62,482,133,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:12,111.76,106.68,642.62,173,116,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:13,116.84,96.52,642.62,140,2741,501,916,586,782,25.8,23.2
"proximity","220717",2017-07-22 03:46:13,129.54,88.9,640.08,564,2640,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:13,132.08,408.94,640.08,592,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:13,139.7,642.62,203.2,623,2602,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:14,358.14,645.16,137.16,611,2649,918,675,827,784,25.8,23.2
"proximity","220717",2017-07-22 03:46:14,373.38,640.08,154.94,614,2617,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:14,355.6,642.62,182.88,611,2634,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:15,350.52,101.6,205.74,602,2645,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:15,350.52,147.32,223.52,550,1,1157,359,965,787,25.9,23.3
"proximity","220717",2017-07-22 03:46:15,345.44,147.32,243.84,1616,2605,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:16,345.44,109.22,276.86,2553,306,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:16,347.98,106.68,320.04,916,304,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:16,347.98,106.68,320.04,875,307,630,991,710,778,25.9,23.3
"proximity","220717",2017-07-22 03:46:16,104.14,111.76,320.04,929,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:17,111.76,292.1,320.04,121,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:17,119.38,299.72,320.04,118,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:17,350.52,304.8,320.04,126,1,862,717,796,780,26,23.4
"proximity","220717",2017-07-22 03:46:18,106.68,93.98,320.04,144,130,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:18,109.22,91.44,320.04,1623,126,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:18,134.62,88.9,320.04,1,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:18,358.14,408.94,320.04,699,1,499,983,626,783,26,23.4
"proximity","220717",2017-07-22 03:46:18,358.14,307.34,439.42,711,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:20,132.08,147.32,320.04,1,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:20,360.68,101.6,320.04,511,446,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:20,360.68,137.16,320.04,452,449,785,793,774,781,26.1,23.4
"proximity","220717",2017-07-22 03:46:20,363.22,93.98,320.04,449,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:21,144.78,101.6,320.04,405,2607,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:21,363.22,101.6,320.04,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:21,149.86,322.58,320.04,438,1,1001,459,877,785,26.1,23.4
"proximity","220717",2017-07-22 03:46:22,360.68,322.58,320.04,438,2610,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:22,170.18,322.58,320.04,443,363,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:22,360.68,439.42,320.04,443,323,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:23,208.28,279.4,320.04,442,296,676,955,734,780,26.1,23.4
"proximity","220717",2017-07-22 03:46:23,195.58,279.4,320.04,435,298,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:23,358.14,281.94,320.04,438,299,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:23,363.22,279.4,320.04,447,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:24,363.22,96.52,320.04,445,1,848,741,830,782,26.2,23.5
"proximity","220717",2017-07-22 03:46:24,226.06,91.44,320.04,443,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:24,360.68,88.9,642.62,443,5,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:25,358.14,88.9,640.08,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:25,358.14,88.9,642.62,443,1,428,982,529,783,26.2,23.5
"proximity","220717",2017-07-22 03:46:25,358.14,88.9,640.08,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:25,358.14,88.9,640.08,441,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:26,269.24,88.9,642.62,440,320,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:26,358.14,88.9,640.08,441,330,830,780,829,783,26.2,23.5
"proximity","220717",2017-07-22 03:46:26,358.14,88.9,640.08,440,314,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:27,358.14,88.9,640.08,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:27,358.14,88.9,640.08,441,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:27,358.14,88.9,640.08,441,1,1086,416,932,788,26.3,23.6
"proximity","220717",2017-07-22 03:46:27,358.14,88.9,642.62,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:28,358.14,88.9,640.08,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:28,358.14,88.9,640.08,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:28,358.14,88.9,640.08,442,1,753,876,768,784,26.3,23.6
"proximity","220717",2017-07-22 03:46:29,360.68,88.9,640.08,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:29,358.14,88.9,640.08,441,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:29,358.14,88.9,640.08,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:30,358.14,88.9,640.08,442,1,798,790,796,783,26.3,23.6
"proximity","220717",2017-07-22 03:46:30,360.68,91.44,640.08,441,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:30,360.68,88.9,640.08,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:30,358.14,88.9,640.08,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:31,358.14,88.9,640.08,442,1,598,784,599,786,26.2,23.5
"proximity","220717",2017-07-22 03:46:31,358.14,88.9,640.08,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:31,358.14,88.9,642.62,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:32,360.68,88.9,640.08,442,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:32,358.14,88.9,642.62,443,1,830,775,783,783,26.1,23.4
"proximity","220717",2017-07-22 03:46:32,358.14,88.9,640.08,443,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:33,360.68,86.36,640.08,443,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:33,358.14,86.36,640.08,444,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:33,360.68,88.9,642.62,443,1,1246,306,1029,788,26,23.3
"proximity","220717",2017-07-22 03:46:33,358.14,88.9,640.08,443,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:34,358.14,88.9,640.08,444,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:34,358.14,88.9,640.08,443,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:34,358.14,88.9,642.62,442,1,693,945,726,783,26,23.3
"proximity","220717",2017-07-22 03:46:35,358.14,88.9,642.62,441,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:35,358.14,88.9,640.08,441,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:35,358.14,88.9,640.08,440,326,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:36,358.14,88.9,640.08,440,328,831,751,790,784,25.9,23.3
"proximity","220717",2017-07-22 03:46:36,358.14,88.9,640.08,441,318,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:36,358.14,88.9,642.62,442,329,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:36,360.68,88.9,640.08,443,310,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:37,360.68,86.36,640.08,444,293,972,526,908,788,25.9,23.3
"proximity","220717",2017-07-22 03:46:37,363.22,86.36,640.08,444,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:37,360.68,86.36,642.62,445,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:38,360.68,86.36,640.08,445,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:38,360.68,86.36,640.08,445,1,852,756,791,783,25.9,23.3
"proximity","220717",2017-07-22 03:46:38,360.68,86.36,642.62,445,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:38,363.22,86.36,642.62,446,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:39,360.68,86.36,642.62,446,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:39,360.68,86.36,640.08,447,1,1334,281,1101,786,25.9,23.3
"proximity","220717",2017-07-22 03:46:39,363.22,86.36,640.08,448,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:40,363.22,86.36,640.08,447,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:40,363.22,86.36,640.08,447,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:40,363.22,86.36,640.08,444,1,708,899,708,782,25.8,23.2
"proximity","220717",2017-07-22 03:46:41,363.22,86.36,640.08,463,319,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:41,360.68,86.36,642.62,493,108,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:41,358.14,86.36,640.08,1,99,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:42,360.68,81.28,640.08,106,1,934,689,874,785,25.8,23.2
"proximity","220717",2017-07-22 03:46:42,365.76,81.28,640.08,84,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:42,66.04,91.44,640.08,78,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:43,45.72,302.26,640.08,65,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:43,43.18,307.34,640.08,63,2619,767,654,677,788,25.7,23.1
"proximity","220717",2017-07-22 03:46:43,43.18,309.88,640.08,65,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:43,50.8,322.58,642.62,80,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:44,55.88,452.12,642.62,590,2672,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:44,50.8,439.42,640.08,66,1,907,690,834,785,25.5,22.9
"proximity","220717",2017-07-22 03:46:44,53.34,353.06,642.62,478,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:45,60.96,426.72,640.08,438,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:45,66.04,408.94,640.08,428,2686,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:45,71.12,642.62,640.08,433,424,993,475,883,785,25.4,22.8
"proximity","220717",2017-07-22 03:46:46,71.12,645.16,640.08,480,430,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:46,83.82,642.62,642.62,462,1585,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:46,78.74,642.62,642.62,424,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:47,88.9,642.62,642.62,380,1,767,864,758,782,25.4,22.8
"proximity","220717",2017-07-22 03:46:47,91.44,642.62,640.08,544,391,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:47,106.68,642.62,640.08,1,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:47,375.92,642.62,640.08,1,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:46:48,378.46,642.62,640.08,1,1,945,662,893,784,25.4,22.8
